버전,재질,밀도,경도,발포업체,가공업체 단가,발포업체 단가
25.09,25k/20(ASHN-5BL),25K,20,폼웍스_TDI,137,141
25.09,A-1WH,16K,12,폼웍스_TDI,104,107
25.09,AHS-13WH,40K,13,폼웍스_TDI,275,284
25.09,AHS-7YE,28K,7,폼웍스_TDI,161,166.2
25.09,AHS-8Y,30K,6,폼웍스_TDI,178,183
25.09,AHSM-10WH,35K,11,폼웍스_TDI,186,192
25.09,AHSM-13,40K,11,폼웍스_TDI,275,284
25.09,ASH-18YE,50K,22,폼웍스_TDI,393,405
25.09,ASR-13YE,40K,6,폼웍스_TDI,275,284
25.09,ASS-13YE,40K,6,폼웍스_TDI,275,284
25.09,ASS-8YE,30K,12,폼웍스_TDI,178,183
25.09,EVA,110K,,기타_전체,2491.70787,2491.70787
25.09,GP,20K,15,진양_TDI,116.188928,116.188928
25.09,HC,40K,6,세원_TDI,257.794184,257.794184
25.09,HC_폼웍스,40K,6,폼웍스_TDI,275,284
25.09,HL9,40K,28,진양_TDI,257.794184,257.794184
25.09,HP,,,,299.54958,299.54958
25.09,HR,35K,19,진양_TDI,174.283392,174.283392
25.09,HR(P),25K,12,진양_TDI,127.989366,127.989366
25.09,HS(W),18K,10,진양_TDI,107.111668,107.111668
25.09,HS(W)흰색,20K,6,진양_TDI,116.188928,116.188928
25.09,KSHR,30K,,진양_TDI,150.682516,150.682516
25.09,KSL-8MWT,35K,15,진양_TDI,174.0588,174.0588
25.09,MDI 35K ,35K,,폼웍스_MDI,359,370
25.09,NS,25K,15,진양_TDI,127.989366,127.989366
25.09,OS,40K,6,폼웍스_TDI,275,284
25.09,RA,35K,11,폼웍스_TDI,186,192
25.09,RI,25K,12,진양_TDI,127.989366,127.989366
25.09,RL,40K,15,진양_TDI,257.794184,257.794184
25.09,RL-4JCC-W,40k,,세원_TDI,257.794184,257.794184
25.09,RO,40K,11,폼웍스_TDI,275,284
25.09,RT,30K,18,폼웍스_TDI,178,183
25.09,SHR,28K,18,진양_TDI,150.8640612,150.8640612
25.09,SL,30K,9,폼웍스_TDI,178,183
25.09,SR,32k,,진양_TDI,168.837036,168.837036
25.09,SR(W),33K,14,세원_TDI,171.0155784,171.0155784
25.09,UI,25K,,진양_TDI,127.989366,127.989366
25.09,UL,30K,6,폼웍스_TDI,178,183
25.09,UR,25K,8,세원_TDI,127.989366,127.989366
25.09,VS,50K,6,세원_TDI,299.54958,299.54958
25.09,W,15K,11,진양_TDI,92.588052,92.588052
25.09,메모리 35K,35K,8,,315,
25.09,메모리 60k ,60k,,세원_MDI,508.32656,508
25.09,슬라브노란색,35K,,기타_전체,174.283392,174
25.09,슬라브저밀도,18K,,세원_MDI,107.111668,107
25.09,저경도(22k/3),22K,3,폼웍스_TDI,395,407
23.11,W,15K,11,진양_TDI,99,102
23.11,HS(W),18K,10,진양_TDI,114,118
23.11,GP,20K,15,진양_TDI,124,128
23.11,HS(W)흰색,20K,6,진양_TDI,124,128
23.11,NS,25K,15,진양_TDI,137,141
23.11,HR(P),25K,12,진양_TDI,137,141
23.11,RI,25K,12,진양_TDI,137,141
23.11,UR,25K,8,세원_TDI,137,141
23.11,SHR,28K,18,진양_TDI,161,166.2
23.11,RT,30K,18,폼웍스_TDI,178,183
23.11,SL,30K,9,폼웍스_TDI,178,183
23.11,UL,30K,6,폼웍스_TDI,178,183
23.11,SR(W),33K,14,세원_TDI,183,188.4
23.11,HR,35K,19,진양_TDI,186,192
23.11,RO,40K,11,폼웍스_TDI,275,284
23.11,RA,35K,11,폼웍스_TDI,186,192
23.11,RL,40K,15,진양_TDI,275,284
23.11,VS,50K,6,세원_TDI,320,330
23.11,OS,40K,6,폼웍스_TDI,275,284
23.11,HL9,40K,28,진양_TDI,275,284
23.11,HC,40K,6,세원_TDI,275,284
23.11,메모리 60k ,60k,,세원_MDI,543,560
23.11,MDI 35K ,35K,,폼웍스_MDI,359,370
23.11,25k/20(ASHN-5BL),25K,20,폼웍스_TDI,137,141
23.11,UI,25K,,진양_TDI,137,141
23.11,KSHR,30K,,진양_TDI,161,166
23.11,HC_폼웍스,40K,6,폼웍스_TDI,275,284
23.11,EVA,110K,,기타_전체,2663,2745
23.11,슬라브저밀도,18K,,세원_MDI,114,118
23.11,슬라브노란색,35K,,기타_전체,186,192
23.11,저경도(22k/3),22K,3,폼웍스_TDI,395,407
23.11,HP,,,,320,330
23.11,AHSM-13,40K,11,폼웍스_TDI,275,284
23.11,AHS-8Y,30K,6,폼웍스_TDI,178,183
23.11,AHSM-10WH,35K,11,폼웍스_TDI,186,192
23.11,AHS-13WH,40K,13,폼웍스_TDI,275,284
23.11,ASR-13YE,40K,6,폼웍스_TDI,275,284
23.11,A-1WH,16K,12,폼웍스_TDI,104,107
23.11,AHS-7YE,28K,7,폼웍스_TDI,161,166.2
23.11,ASS-8YE,30K,12,폼웍스_TDI,178,183
23.11,ASH-18YE,50K,22,폼웍스_TDI,393,405
23.11,ASS-10WH,35K,15,폼웍스_TDI,186,192
23.11,ASS-13YE,40K,6,폼웍스_TDI,275,284
23.11,RL-4JCC-W,40k,,세원_TDI,275,284
23.11,SR,32k,,진양_TDI,180,186
23.11,메모리 35K,35K,8,,315,
